company_name,ticker,first_trade_date
Ark Restaurants Cp,ARKR,503332200
Bruker Corp,BRKR,965395800
Global Systems Dynamics Inc,GSD,1632835800
Newpark Resources,NR,652627800
Gerdau S.A. ADR,GGB,921076200
Greenpower Motor Company,GP,1598621400
Merus N.V. CS,MRUS,1463664600
Rezolute Inc,RZLT,1358173800
Rayonier Inc REIT,RYN,761495400
Wisdomtree Japan Hedged Smallcap Equity,DXJS,1372426200
Global Water Invesco ETF,PIO,1181741400
Signal Hill Acquisition Corp Cl A,SGHL,1648474200
State Street Corp,STT,322151400
Icon Plc,ICLR,895239000
American Financial Group Inc 5.625%,AFGD,1591277400
Cytosorbents Cor,CTSO,1155043800
Targa Resources,TRGP,1291732200
GX Nasdaq 100 Collar 95-110 ETF,QCLR,1629984600
Energizer Holdings Inc,ENR,1434115800
Nuveen Multi-Asset Income Fund,NMAI,1637591400
Smith-Midland Corp,SMID,818865000
Cohen & Steers REIT and Preferred,RNP,1056547800
Sunlight Financial Hldgs Inc,SUNL,1610721000
Microvast Hldgs Inc,MVST,1553693400
Sphere 3D Corp,ANY,1376314200
Specialty Finance and Financial Fund,FGB,1180099800
Fomento Economico Mexicano S.A.B. DE,FMX,894893400
Vanda Pharmaceuticals,VNDA,1144848600
KKR Income Opportunities Fund,KIO,1374845400
Sculptor Acquisition Corp I Cl A,SCUA,1643639400
Geovax Labs,GOVX,1601040600
Vivid Seats Inc Cl A,SEAT,1634736600
Paxmedica Inc,PXMD,1661520600
Nisun Int Ent Dev Grp Ltd,NISN,1482849000
Nextnav Inc,NN,1604327400
Goldenbridge Acquisition Ltd,GBRG,1618579800
Colony Bankcorp Inc,CBAN,891527400
Canadian Natural Resources,CNQ,965050200
Purecycle Technologies Inc,PCT,1594733400
Ascendis Pharma ADR,ASND,1422455400
Axs 2X Innovation ETF,TARK,1651498200
Buyback Achievers Invesco ETF,PKW,1166625000
Cvb Financial Corp,CVBF,418314600
Exela Technologies Inc,XELA,1425907800
Kingsoft Cloud Holdings Ltd ADR,KC,1588944600
Blackstone Long-Short Credit Income Fund,BGX,1296138600
Ametek Inc,AME,459091800
Paycom Software Inc,PAYC,1397568600
Pimco Access Income Fund,PAXS,1643293800
Veon Ltd ADR,VEON,848068200
Legato Merger Corp II,LGTO,1640269800
Defiance Short Digitizing The Economy,IBIT,1663335000
Landsee Homes Corp,LSEA,1530279000
Intl Developed Real Estate Ishares ETF,IFGL,1195482600
Sapiens Intl Cp NV,SPNS,889108200
Artivion Inc,AORT,729527400
Matthews Intl Corp,MATW,774711000
Pdf Solutions Inc,PDFS,996586200
Xerox Corp,XRX,-252322200
Silo Pharma Inc,SILO,1610116200
Pimco New York Muni II,PNI,1025098200
Knight-Swift Transporation Inc,KNX,783091800
Arcelormittal ADR,MT,870960600
Umh Properties,UMH,477757800
Merlyn.Ai Bull-Rider Bear-Fighter ETF,WIZ,1571319000
Intrusion Inc,INTZ,706455000
Invo Bioscience Inc,INVO,1604327400
Lakeland Inds Inc,LAKE,526656600
Wheels Up Experience Inc,UP,1605709800
Smallcap Growth Alphadex Fund FT,FYC,1303306200
Marten Transport L,MRTN,528039000
National Energy Services Reunited Corp,NESR,1496669400
Zoetis Inc Cl A,ZTS,1359729000
Avinger Inc,AVGR,1422628200
Bragg Gaming Group Inc,BRAG,1522157400
Reviva Pharmaceuticals Hldg Inc,RVPH,1539869400
Office Depot,ODP,581175000
Iveda Solutions Inc,IVDA,1255354200
10X Capital Venture Acquisition Corp II,VCXA,1633440600
Cabot Corp,CBT,342282600
Strata Skin Scien,SSKN,1131028200
Sarepta Therapeutics,SRPT,865431000
IM Cannabis Corp,IMCC,1589981400
Aytu Biopharma Inc,AYTU,1222349400
Manhattan Assoc,MANH,893338200
Upwork Inc,UPWK,1538573400
Altra Indtl Mtn,AIMC,1166193000
Bone Biologics Corp,BBLG,1634131800
Rapid Micro Biosystems Inc Cl A,RPID,1626355800
Tennessee Valley Authority,TVC,908371800
Hewlett Packard Enterprise Comp,HPE,1445261400
Cvr Energy Inc,CVI,1193146200
Gopro Inc Cl A,GPRO,1403789400
Pyrogenesis Cda Inc,PYR,1313415000
Banner Acquisition Corp Cl A,BNNR,1635514200
Pioneer High Income Fund,PHT,1019827800
Benefitfocus,BNFT,1379511000
Standard Motor Products,SMP,322151400
The Generation Z ETF,ZGEN,1639665000
Teva Pharmaceutical Industries ADR,TEVA,382717800
Ferroglobe Plc Os,GSM,1248960600
Werewolf Therapeutics Inc,HOWL,1619789400
Innovative Industrial Properties,IIPR,1480602600
Babcock & Wilcox Enterprises Inc 6.50%,BWNB,1639751400
Ready Capital Corp 5.75%,RCC,1613485800
Avangrid Inc,AGR,1450362600
MFS Intermediate Income Trust,MIN,574093800
Johnson Outdoors,JOUT,560784600
Walkme Ltd,WKME,1623850200
Hydrofarm Holdings Group Inc,HYFM,1607610600
Prime Impact Acquisition I Cl A,PIAI,1604327400
Ovintiv Inc,OVV,1018272600
Abeona Therapeutics,ABEO,338218200
Match Group Inc,MTCH,727453800
Osisko Gold Royalties Ltd,OR,1467811800
ST Energy Transition I Cl A,STET,1643034600
Cavco Inds Inc,CVCO,1057066200
Agriforce Growing Systems Ltd,AGRI,1625751000
United Parcel Service,UPS,942244200
Cronos Group Inc,CRON,1519741800
Intl Dividend Achievers Invesco ETF,PID,1126791000
Constellation Energy Corp,CEG,1642602600
Abbott Laboratories,ABT,322151400
Tekla Life Sciences Investors,HQL,704727000
Chicago Atlantic Real Estate Finance Inc,REFI,1638973800
The Beachbody Inc Cl A,BODY,1610721000
Sunworks Inc,SUNW,1268231400
Guardforce Ai Company,GFAI,1632922200
National Bank Holdings Corp,NBHC,1348147800
Globalfoundries Inc,GFS,1635427800
Strayer Education,STRA,838301400
Morgan Stanley India Investment Fund Inc,IIF,761581800
Prudential Public Ltd Company ADR,PUK,962285400
Lucid Diagnostics Inc,LUCD,1634218200
Bumble Inc,BMBL,1613053800
Imax Corp,IMAX,771255000
Trinseo S.A.,TSE,1402579800
Recon Technology Ltd,RCON,1248960600
Progress Acquisition Corp Cl A,PGRW,1616160600
Mexico Fund,MXF,360509400
Curo Group Holdings Corp,CURO,1512657000
USD Emrg Mkts Bond Ishares JPM ETF,EMB,1198074600
Trustco Bank Corp NY,TRST,419697000
Gaucho Group Holdings Inc,VINO,1611066600
G Squared Ascend II Inc Cl A,GSQB,1628170200
Direct Selling Acquisition Corp Cl A,DSAQ,1636727400
Bankwell Financial,BWFG,1270474200
Profound Medical Corp,PROF,1572355800
Impel Pharmaceuticals Inc,IMPL,1619184600
Target Global Acquisition I Corp Cl A,TGAA,1643725800
Jowell Global Ltd,JWEL,1615987800
